ต้นทาง,ปลายทาง,วันที่,ช่วงเวลา,เทศกาล,ระยะเวลาเดินทาง (นาที)
เซ็นทรัลเวิลด์,สถานีขนส่งเอกมัย,2001-10-18,06:00-09:00,สงกรานต์,63.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีหัวลำโพง,2002-01-17,11:00-13:00,ปิดเทอม,58.0
สนามบินดอนเมือง,สถานีขนส่งเอกมัย,2003-02-21,06:00-09:00,เปิดเทอม,42.0
สถานีขนส่งหมอชิต,สยามพารากอน,2007-08-10,11:00-13:00,เปิดเทอม,48.0
สนามบินดอนเมือง,เซ็นทรัลเวิลด์,1999-04-25,17:00-20:00,วันหยุดนักขัตฤกษ์,47.0
ศูนย์ราชการแจ้งวัฒนะ,สนามบินดอนเมือง,2000-10-26,11:00-13:00,ปิดเทอม,51.0
สถานีหัวลำโพง,สยามพารากอน,2008-04-25,06:00-09:00,วันธรรมดา,20.0
ตลาดนัดจตุจักร,สถานีขนส่งหมอชิต,2005-01-12,06:00-09:00,เปิดเทอม,76.0
ตลาดนัดจตุจักร,เซ็นทรัลเวิลด์,2023-12-18,17:00-20:00,ลอยกระทง,65.0
ศูนย์ราชการแจ้งวัฒนะ,อนุสาวรีย์ชัยสมรภูมิ,2000-11-26,06:00-09:00,ปิดเทอม,32.0
สถานีขนส่งเอกมัย,ศูนย์ราชการแจ้งวัฒนะ,2020-04-26,11:00-13:00,ปิดเทอม,41.0
สถานีหัวลำโพง,สยามพารากอน,2024-08-22,11:00-13:00,ปีใหม่,118.0
ตลาดนัดจตุจักร,อนุสาวรีย์ชัยสมรภูมิ,2004-12-24,17:00-20:00,สงกรานต์,104.0
สนามบินดอนเมือง,สถานีหัวลำโพง,2016-10-22,11:00-13:00,ปิดเทอม,40.0
ศูนย์ราชการแจ้งวัฒนะ,เซ็นทรัลเวิลด์,2012-08-06,17:00-20:00,ปีใหม่,81.0
สถานีขนส่งเอกมัย,ตลาดนัดจตุจักร,2009-01-09,17:00-20:00,ปิดเทอม,36.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีหัวลำโพง,2022-06-14,17:00-20:00,เปิดเทอม,56.0
ศูนย์ราชการแจ้งวัฒนะ,เซ็นทรัลเวิลด์,2016-12-16,17:00-20:00,วันธรรมดา,31.0
ศูนย์ราชการแจ้งวัฒนะ,สนามบินสุวรรณภูมิ,2020-07-01,06:00-09:00,ลอยกระทง,50.0
สยามพารากอน,สถานีขนส่งเอกมัย,2003-12-29,17:00-20:00,สงกรานต์,95.0
ศูนย์ราชการแจ้งวัฒนะ,ตลาดนัดจตุจักร,2009-07-17,17:00-20:00,วันหยุดนักขัตฤกษ์,13.0
สนามบินดอนเมือง,อนุสาวรีย์ชัยสมรภูมิ,1999-07-19,17:00-20:00,ลอยกระทง,20.0
สถานีขนส่งหมอชิต,สนามบินดอนเมือง,2002-09-25,11:00-13:00,วันธรรมดา,27.0
อนุสาวรีย์ชัยสมรภูมิ,เซ็นทรัลเวิลด์,2011-01-08,11:00-13:00,ลอยกระทง,22.0
สถานีหัวลำโพง,ศูนย์ราชการแจ้งวัฒนะ,2001-02-05,17:00-20:00,เปิดเทอม,32.0
สยามพารากอน,ตลาดนัดจตุจักร,2019-10-09,17:00-20:00,เปิดเทอม,25.0
สนามบินดอนเมือง,สถานีขนส่งหมอชิต,2019-12-05,11:00-13:00,ลอยกระทง,23.0
สถานีหัวลำโพง,สนามบินดอนเมือง,2006-04-16,11:00-13:00,เปิดเทอม,53.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งเอกมัย,2003-05-07,11:00-13:00,สงกรานต์,84.0
สนามบินดอนเมือง,สยามพารากอน,2001-11-27,17:00-20:00,วันธรรมดา,17.0
สนามบินดอนเมือง,ตลาดนัดจตุจักร,2002-05-04,06:00-09:00,สงกรานต์,141.0
เซ็นทรัลเวิลด์,สยามพารากอน,2012-10-21,11:00-13:00,วันธรรมดา,50.0
สนามบินสุวรรณภูมิ,สถานีขนส่งหมอชิต,2000-01-01,11:00-13:00,วันหยุดนักขัตฤกษ์,60.0
สนามบินดอนเมือง,ศูนย์ราชการแจ้งวัฒนะ,2004-09-19,17:00-20:00,สงกรานต์,123.0
สนามบินสุวรรณภูมิ,เซ็นทรัลเวิลด์,2024-09-06,11:00-13:00,ลอยกระทง,57.0
สถานีขนส่งหมอชิต,สนามบินดอนเมือง,2015-08-01,11:00-13:00,สงกรานต์,144.0
ศูนย์ราชการแจ้งวัฒนะ,ตลาดนัดจตุจักร,2013-12-22,17:00-20:00,ลอยกระทง,49.0
สถานีหัวลำโพง,อนุสาวรีย์ชัยสมรภูมิ,2019-12-01,17:00-20:00,วันธรรมดา,51.0
สถานีขนส่งเอกมัย,สยามพารากอน,2003-04-14,06:00-09:00,เปิดเทอม,85.0
สถานีหัวลำโพง,ตลาดนัดจตุจักร,2022-01-21,17:00-20:00,วันธรรมดา,33.0
สถานีหัวลำโพง,อนุสาวรีย์ชัยสมรภูมิ,2014-06-30,06:00-09:00,ปีใหม่,118.0
เซ็นทรัลเวิลด์,สถานีขนส่งหมอชิต,2004-09-09,17:00-20:00,วันหยุดนักขัตฤกษ์,48.0
สถานีขนส่งเอกมัย,สนามบินสุวรรณภูมิ,2008-07-02,11:00-13:00,ลอยกระทง,63.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีหัวลำโพง,2014-12-31,06:00-09:00,วันธรรมดา,66.0
สถานีขนส่งเอกมัย,ศูนย์ราชการแจ้งวัฒนะ,2018-01-19,17:00-20:00,วันธรรมดา,39.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งหมอชิต,1999-01-11,11:00-13:00,วันหยุดนักขัตฤกษ์,41.0
ตลาดนัดจตุจักร,เซ็นทรัลเวิลด์,2016-01-15,17:00-20:00,เปิดเทอม,55.0
ตลาดนัดจตุจักร,สถานีขนส่งหมอชิต,2020-12-14,06:00-09:00,วันหยุดนักขัตฤกษ์,24.0
สนามบินสุวรรณภูมิ,สถานีขนส่งหมอชิต,2024-09-23,17:00-20:00,สงกรานต์,116.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งเอกมัย,2005-12-12,06:00-09:00,ปิดเทอม,68.0
สนามบินสุวรรณภูมิ,อนุสาวรีย์ชัยสมรภูมิ,2021-10-29,06:00-09:00,สงกรานต์,57.0
สถานีขนส่งหมอชิต,สนามบินดอนเมือง,2022-12-15,17:00-20:00,ปีใหม่,134.0
สถานีขนส่งหมอชิต,สนามบินดอนเมือง,2013-12-29,06:00-09:00,ลอยกระทง,35.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีหัวลำโพง,2011-09-01,17:00-20:00,ลอยกระทง,44.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีหัวลำโพง,2020-09-30,06:00-09:00,เปิดเทอม,80.0
อนุสาวรีย์ชัยสมรภูมิ,ตลาดนัดจตุจักร,2003-01-26,11:00-13:00,ปีใหม่,118.0
ศูนย์ราชการแจ้งวัฒนะ,สนามบินสุวรรณภูมิ,2022-06-13,17:00-20:00,ลอยกระทง,28.0
สถานีหัวลำโพง,สนามบินดอนเมือง,2000-08-12,06:00-09:00,เปิดเทอม,86.0
สนามบินดอนเมือง,ศูนย์ราชการแจ้งวัฒนะ,2014-11-02,17:00-20:00,สงกรานต์,138.0
สถานีขนส่งหมอชิต,สถานีหัวลำโพง,2014-08-14,17:00-20:00,วันหยุดนักขัตฤกษ์,28.0
ตลาดนัดจตุจักร,สนามบินดอนเมือง,2016-11-29,11:00-13:00,สงกรานต์,139.0
สถานีขนส่งเอกมัย,อนุสาวรีย์ชัยสมรภูมิ,2022-09-06,11:00-13:00,เปิดเทอม,52.0
สยามพารากอน,สนามบินดอนเมือง,2015-11-18,11:00-13:00,ปีใหม่,57.0
สถานีหัวลำโพง,สถานีขนส่งหมอชิต,2012-07-23,17:00-20:00,วันธรรมดา,57.0
สนามบินสุวรรณภูมิ,สถานีขนส่งเอกมัย,2002-04-27,17:00-20:00,ปีใหม่,93.0
สนามบินดอนเมือง,สถานีขนส่งเอกมัย,2020-10-03,06:00-09:00,ปีใหม่,104.0
สถานีขนส่งเอกมัย,สถานีขนส่งหมอชิต,2024-08-17,11:00-13:00,ลอยกระทง,29.0
สถานีหัวลำโพง,ตลาดนัดจตุจักร,2006-03-27,17:00-20:00,วันหยุดนักขัตฤกษ์,68.0
สยามพารากอน,ศูนย์ราชการแจ้งวัฒนะ,2002-06-27,17:00-20:00,สงกรานต์,76.0
สนามบินสุวรรณภูมิ,สถานีขนส่งเอกมัย,2020-02-21,11:00-13:00,สงกรานต์,141.0
เซ็นทรัลเวิลด์,สยามพารากอน,2002-08-11,17:00-20:00,วันหยุดนักขัตฤกษ์,32.0
สถานีขนส่งเอกมัย,สยามพารากอน,2023-04-07,17:00-20:00,เปิดเทอม,41.0
เซ็นทรัลเวิลด์,สยามพารากอน,2015-03-05,11:00-13:00,เปิดเทอม,50.0
สนามบินสุวรรณภูมิ,เซ็นทรัลเวิลด์,2018-02-23,06:00-09:00,ปิดเทอม,18.0
ตลาดนัดจตุจักร,สถานีหัวลำโพง,2022-01-12,17:00-20:00,วันธรรมดา,6.0
เซ็นทรัลเวิลด์,ตลาดนัดจตุจักร,2007-08-30,17:00-20:00,ลอยกระทง,
สถานีขนส่งหมอชิต,ตลาดนัดจตุจักร,2010-05-17,11:00-13:00,สงกรานต์,89.0
เซ็นทรัลเวิลด์,สถานีขนส่งหมอชิต,2005-08-17,06:00-09:00,วันธรรมดา,49.0
สยามพารากอน,ตลาดนัดจตุจักร,2006-11-29,06:00-09:00,วันธรรมดา,53.0
สถานีหัวลำโพง,สถานีขนส่งเอกมัย,2019-08-19,11:00-13:00,วันหยุดนักขัตฤกษ์,54.0
สถานีขนส่งเอกมัย,สนามบินดอนเมือง,2015-04-15,17:00-20:00,เปิดเทอม,23.0
สถานีขนส่งหมอชิต,เซ็นทรัลเวิลด์,2016-12-30,06:00-09:00,ปีใหม่,90.0
สนามบินดอนเมือง,ศูนย์ราชการแจ้งวัฒนะ,2012-06-02,11:00-13:00,สงกรานต์,79.0
เซ็นทรัลเวิลด์,ศูนย์ราชการแจ้งวัฒนะ,2010-06-02,11:00-13:00,เปิดเทอม,51.0
ตลาดนัดจตุจักร,อนุสาวรีย์ชัยสมรภูมิ,2003-12-25,06:00-09:00,เปิดเทอม,72.0
สถานีหัวลำโพง,สยามพารากอน,2002-03-08,06:00-09:00,สงกรานต์,72.0
สนามบินดอนเมือง,สยามพารากอน,2014-07-13,06:00-09:00,ลอยกระทง,44.0
เซ็นทรัลเวิลด์,สถานีขนส่งหมอชิต,2000-12-09,06:00-09:00,เปิดเทอม,73.0
สถานีขนส่งหมอชิต,สนามบินดอนเมือง,2012-04-06,11:00-13:00,วันหยุดนักขัตฤกษ์,43.0
ศูนย์ราชการแจ้งวัฒนะ,สนามบินสุวรรณภูมิ,1999-09-30,17:00-20:00,วันธรรมดา,36.0
สยามพารากอน,สนามบินสุวรรณภูมิ,2015-02-18,17:00-20:00,ลอยกระทง,72.0
สถานีขนส่งเอกมัย,สยามพารากอน,2021-07-24,06:00-09:00,ปิดเทอม,50.0
สถานีหัวลำโพง,สนามบินสุวรรณภูมิ,2012-01-02,17:00-20:00,สงกรานต์,64.0
สนามบินสุวรรณภูมิ,สถานีขนส่งเอกมัย,2018-12-22,17:00-20:00,ปิดเทอม,43.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีขนส่งหมอชิต,2002-05-09,11:00-13:00,ปิดเทอม,60.0
สถานีขนส่งหมอชิต,ศูนย์ราชการแจ้งวัฒนะ,2007-11-08,11:00-13:00,เปิดเทอม,39.0
สถานีหัวลำโพง,ศูนย์ราชการแจ้งวัฒนะ,2012-11-10,06:00-09:00,ปิดเทอม,41.0
สถานีขนส่งเอกมัย,สนามบินสุวรรณภูมิ,2001-03-08,17:00-20:00,ปิดเทอม,78.0
สนามบินสุวรรณภูมิ,เซ็นทรัลเวิลด์,2007-02-12,06:00-09:00,ปีใหม่,111.0
สนามบินดอนเมือง,สถานีขนส่งหมอชิต,2013-10-06,17:00-20:00,วันหยุดนักขัตฤกษ์,55.0
สนามบินสุวรรณภูมิ,อนุสาวรีย์ชัยสมรภูมิ,2023-10-21,17:00-20:00,ปีใหม่,102.0
ตลาดนัดจตุจักร,เซ็นทรัลเวิลด์,2008-08-25,06:00-09:00,วันหยุดนักขัตฤกษ์,22.0
สนามบินสุวรรณภูมิ,สยามพารากอน,2007-09-28,17:00-20:00,ปีใหม่,83.0
เซ็นทรัลเวิลด์,ศูนย์ราชการแจ้งวัฒนะ,2023-05-21,17:00-20:00,ปิดเทอม,21.0
ศูนย์ราชการแจ้งวัฒนะ,อนุสาวรีย์ชัยสมรภูมิ,2014-12-13,17:00-20:00,สงกรานต์,61.0
สถานีขนส่งหมอชิต,สยามพารากอน,2004-04-19,17:00-20:00,เปิดเทอม,33.0
ตลาดนัดจตุจักร,สนามบินดอนเมือง,2018-08-31,11:00-13:00,ปีใหม่,112.0
สถานีหัวลำโพง,สยามพารากอน,2014-12-17,11:00-13:00,ปีใหม่,65.0
สถานีหัวลำโพง,สยามพารากอน,2013-08-18,17:00-20:00,ปิดเทอม,38.0
สยามพารากอน,ตลาดนัดจตุจักร,2006-09-29,17:00-20:00,สงกรานต์,99.0
สถานีหัวลำโพง,สนามบินดอนเมือง,2005-03-07,17:00-20:00,เปิดเทอม,32.0
สถานีขนส่งเอกมัย,ศูนย์ราชการแจ้งวัฒนะ,2002-01-08,11:00-13:00,ปิดเทอม,48.0
เซ็นทรัลเวิลด์,สนามบินสุวรรณภูมิ,2006-12-14,17:00-20:00,ปีใหม่,97.0
สถานีขนส่งหมอชิต,ตลาดนัดจตุจักร,2007-09-26,17:00-20:00,ปิดเทอม,76.0
สนามบินดอนเมือง,เซ็นทรัลเวิลด์,2017-08-27,06:00-09:00,สงกรานต์,101.0
สถานีขนส่งเอกมัย,ตลาดนัดจตุจักร,2016-09-14,06:00-09:00,เปิดเทอม,
สยามพารากอน,เซ็นทรัลเวิลด์,2018-08-14,11:00-13:00,สงกรานต์,66.0
สนามบินดอนเมือง,สถานีหัวลำโพง,2015-03-16,11:00-13:00,วันธรรมดา,63.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งหมอชิต,2011-02-11,06:00-09:00,เปิดเทอม,83.0
สยามพารากอน,สถานีขนส่งหมอชิต,2004-02-05,06:00-09:00,วันหยุดนักขัตฤกษ์,45.0
สถานีขนส่งหมอชิต,อนุสาวรีย์ชัยสมรภูมิ,2008-06-15,17:00-20:00,วันธรรมดา,62.0
สถานีขนส่งหมอชิต,ศูนย์ราชการแจ้งวัฒนะ,2016-03-30,11:00-13:00,ลอยกระทง,25.0
เซ็นทรัลเวิลด์,สถานีขนส่งเอกมัย,2005-09-07,06:00-09:00,ปีใหม่,131.0
สนามบินดอนเมือง,สถานีหัวลำโพง,2021-05-06,11:00-13:00,ปิดเทอม,49.0
เซ็นทรัลเวิลด์,ศูนย์ราชการแจ้งวัฒนะ,2004-11-25,06:00-09:00,ปิดเทอม,48.0
สถานีขนส่งเอกมัย,ศูนย์ราชการแจ้งวัฒนะ,2005-02-24,11:00-13:00,ปีใหม่,58.0
สถานีขนส่งหมอชิต,สถานีหัวลำโพง,2000-03-28,06:00-09:00,วันธรรมดา,70.0
เซ็นทรัลเวิลด์,สนามบินดอนเมือง,2022-02-13,17:00-20:00,สงกรานต์,110.0
สถานีขนส่งหมอชิต,อนุสาวรีย์ชัยสมรภูมิ,2009-02-24,06:00-09:00,วันหยุดนักขัตฤกษ์,62.0
สยามพารากอน,สนามบินดอนเมือง,2022-08-23,17:00-20:00,ลอยกระทง,48.0
ตลาดนัดจตุจักร,อนุสาวรีย์ชัยสมรภูมิ,1999-08-14,11:00-13:00,ปิดเทอม,28.0
อนุสาวรีย์ชัยสมรภูมิ,ศูนย์ราชการแจ้งวัฒนะ,2010-02-02,17:00-20:00,ปิดเทอม,27.0
สถานีขนส่งหมอชิต,สยามพารากอน,2012-07-22,06:00-09:00,สงกรานต์,120.0
สยามพารากอน,สถานีหัวลำโพง,2003-08-21,06:00-09:00,ปิดเทอม,74.0
สถานีหัวลำโพง,สยามพารากอน,2013-12-26,17:00-20:00,ลอยกระทง,43.0
สยามพารากอน,อนุสาวรีย์ชัยสมรภูมิ,2000-06-04,17:00-20:00,สงกรานต์,63.0
สนามบินดอนเมือง,สถานีขนส่งเอกมัย,2003-04-11,06:00-09:00,ลอยกระทง,60.0
สถานีขนส่งเอกมัย,เซ็นทรัลเวิลด์,2005-05-09,11:00-13:00,วันหยุดนักขัตฤกษ์,58.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งหมอชิต,2013-05-16,17:00-20:00,วันธรรมดา,
เซ็นทรัลเวิลด์,อนุสาวรีย์ชัยสมรภูมิ,2023-11-05,11:00-13:00,ปีใหม่,90.0
สนามบินดอนเมือง,สยามพารากอน,2009-03-26,17:00-20:00,วันธรรมดา,25.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งหมอชิต,2007-05-05,06:00-09:00,สงกรานต์,62.0
สถานีขนส่งหมอชิต,สถานีขนส่งเอกมัย,2013-11-11,11:00-13:00,วันหยุดนักขัตฤกษ์,41.0
สถานีขนส่งหมอชิต,อนุสาวรีย์ชัยสมรภูมิ,2011-09-16,11:00-13:00,เปิดเทอม,30.0
สถานีหัวลำโพง,ศูนย์ราชการแจ้งวัฒนะ,2021-12-30,17:00-20:00,เปิดเทอม,42.0
สนามบินสุวรรณภูมิ,สถานีหัวลำโพง,2024-09-24,11:00-13:00,ปิดเทอม,54.0
สถานีขนส่งเอกมัย,สนามบินดอนเมือง,2020-02-20,06:00-09:00,ปีใหม่,79.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีหัวลำโพง,2024-12-04,11:00-13:00,วันหยุดนักขัตฤกษ์,69.0
สนามบินสุวรรณภูมิ,ตลาดนัดจตุจักร,2015-12-23,06:00-09:00,วันธรรมดา,34.0
เซ็นทรัลเวิลด์,สถานีหัวลำโพง,2001-10-28,06:00-09:00,เปิดเทอม,50.0
สนามบินดอนเมือง,อนุสาวรีย์ชัยสมรภูมิ,1999-05-09,11:00-13:00,สงกรานต์,81.0
อนุสาวรีย์ชัยสมรภูมิ,สนามบินดอนเมือง,2007-10-26,06:00-09:00,สงกรานต์,94.0
สนามบินสุวรรณภูมิ,ตลาดนัดจตุจักร,2020-11-25,06:00-09:00,วันหยุดนักขัตฤกษ์,45.0
สถานีขนส่งเอกมัย,สถานีหัวลำโพง,2011-12-19,06:00-09:00,ลอยกระทง,28.0
สถานีหัวลำโพง,อนุสาวรีย์ชัยสมรภูมิ,2002-06-09,17:00-20:00,ปีใหม่,44.0
สถานีขนส่งหมอชิต,สนามบินสุวรรณภูมิ,2009-04-18,06:00-09:00,ปีใหม่,129.0
ศูนย์ราชการแจ้งวัฒนะ,สนามบินสุวรรณภูมิ,2006-06-20,17:00-20:00,เปิดเทอม,65.0
สนามบินสุวรรณภูมิ,อนุสาวรีย์ชัยสมรภูมิ,2020-10-28,11:00-13:00,วันธรรมดา,23.0
สนามบินสุวรรณภูมิ,อนุสาวรีย์ชัยสมรภูมิ,2006-08-14,06:00-09:00,เปิดเทอม,66.0
สถานีขนส่งหมอชิต,สถานีหัวลำโพง,2021-10-18,17:00-20:00,วันธรรมดา,39.0
สถานีขนส่งหมอชิต,สยามพารากอน,2014-07-04,17:00-20:00,วันหยุดนักขัตฤกษ์,53.0
สถานีขนส่งหมอชิต,เซ็นทรัลเวิลด์,2019-08-17,17:00-20:00,วันธรรมดา,54.0
อนุสาวรีย์ชัยสมรภูมิ,สนามบินดอนเมือง,2018-11-12,11:00-13:00,วันหยุดนักขัตฤกษ์,23.0
สถานีหัวลำโพง,สยามพารากอน,2016-01-02,17:00-20:00,เปิดเทอม,64.0
สนามบินดอนเมือง,เซ็นทรัลเวิลด์,2002-05-16,11:00-13:00,สงกรานต์,49.0
สถานีขนส่งหมอชิต,สถานีหัวลำโพง,1999-11-02,06:00-09:00,ลอยกระทง,73.0
เซ็นทรัลเวิลด์,อนุสาวรีย์ชัยสมรภูมิ,2004-02-23,11:00-13:00,ปิดเทอม,20.0
สยามพารากอน,สถานีขนส่งเอกมัย,2019-04-10,17:00-20:00,วันธรรมดา,52.0
สนามบินดอนเมือง,ศูนย์ราชการแจ้งวัฒนะ,2011-10-02,17:00-20:00,ปิดเทอม,71.0
สนามบินดอนเมือง,สถานีขนส่งหมอชิต,2021-04-01,11:00-13:00,ลอยกระทง,32.0
สถานีหัวลำโพง,ตลาดนัดจตุจักร,2015-05-12,17:00-20:00,เปิดเทอม,37.0
สถานีขนส่งหมอชิต,สยามพารากอน,2014-01-13,06:00-09:00,สงกรานต์,124.0
ตลาดนัดจตุจักร,เซ็นทรัลเวิลด์,2018-08-16,11:00-13:00,เปิดเทอม,14.0
สยามพารากอน,สถานีขนส่งเอกมัย,2021-08-15,06:00-09:00,ปีใหม่,98.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีหัวลำโพง,2004-05-28,11:00-13:00,ปิดเทอม,11.0
สยามพารากอน,สถานีหัวลำโพง,2009-07-17,06:00-09:00,เปิดเทอม,46.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีหัวลำโพง,2001-01-15,11:00-13:00,วันธรรมดา,21.0
ศูนย์ราชการแจ้งวัฒนะ,เซ็นทรัลเวิลด์,2017-09-06,11:00-13:00,สงกรานต์,62.0
ตลาดนัดจตุจักร,ศูนย์ราชการแจ้งวัฒนะ,2009-03-17,17:00-20:00,ปิดเทอม,29.0
ตลาดนัดจตุจักร,สถานีขนส่งหมอชิต,2022-02-15,17:00-20:00,สงกรานต์,104.0
สถานีขนส่งหมอชิต,ศูนย์ราชการแจ้งวัฒนะ,2021-01-25,06:00-09:00,สงกรานต์,86.0
สถานีหัวลำโพง,อนุสาวรีย์ชัยสมรภูมิ,2022-09-05,06:00-09:00,ปิดเทอม,25.0
สนามบินดอนเมือง,อนุสาวรีย์ชัยสมรภูมิ,2001-11-25,06:00-09:00,เปิดเทอม,95.0
สถานีหัวลำโพง,เซ็นทรัลเวิลด์,2023-11-02,17:00-20:00,เปิดเทอม,28.0
สถานีขนส่งหมอชิต,เซ็นทรัลเวิลด์,2006-09-09,06:00-09:00,เปิดเทอม,75.0
อนุสาวรีย์ชัยสมรภูมิ,เซ็นทรัลเวิลด์,2010-03-10,06:00-09:00,ปีใหม่,82.0
เซ็นทรัลเวิลด์,อนุสาวรีย์ชัยสมรภูมิ,2012-03-30,11:00-13:00,วันหยุดนักขัตฤกษ์,53.0
สถานีหัวลำโพง,สถานีขนส่งเอกมัย,2006-03-23,17:00-20:00,เปิดเทอม,45.0
สยามพารากอน,สถานีขนส่งหมอชิต,2021-10-24,06:00-09:00,วันธรรมดา,59.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีหัวลำโพง,2013-07-11,11:00-13:00,ปีใหม่,76.0
ตลาดนัดจตุจักร,สนามบินสุวรรณภูมิ,2021-10-27,17:00-20:00,สงกรานต์,91.0
สถานีขนส่งเอกมัย,อนุสาวรีย์ชัยสมรภูมิ,2011-04-12,06:00-09:00,ลอยกระทง,39.0
อนุสาวรีย์ชัยสมรภูมิ,สถานีหัวลำโพง,2020-10-15,17:00-20:00,วันธรรมดา,35.0
สถานีขนส่งหมอชิต,เซ็นทรัลเวิลด์,2018-02-19,17:00-20:00,วันหยุดนักขัตฤกษ์,40.0
อนุสาวรีย์ชัยสมรภูมิ,ศูนย์ราชการแจ้งวัฒนะ,2010-11-03,17:00-20:00,สงกรานต์,80.0
ตลาดนัดจตุจักร,สถานีหัวลำโพง,2015-12-10,11:00-13:00,วันหยุดนักขัตฤกษ์,22.0
ศูนย์ราชการแจ้งวัฒนะ,สนามบินสุวรรณภูมิ,2009-09-01,11:00-13:00,ลอยกระทง,28.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งหมอชิต,2017-04-30,06:00-09:00,เปิดเทอม,71.0
สยามพารากอน,ตลาดนัดจตุจักร,2006-12-17,11:00-13:00,ลอยกระทง,55.0
เซ็นทรัลเวิลด์,ตลาดนัดจตุจักร,2024-09-07,17:00-20:00,ปีใหม่,84.0
เซ็นทรัลเวิลด์,สนามบินดอนเมือง,2021-04-06,11:00-13:00,ปีใหม่,142.0
ศูนย์ราชการแจ้งวัฒนะ,สถานีขนส่งหมอชิต,1999-07-13,06:00-09:00,วันธรรมดา,26.0
